userid,score
12,-Inf
13,-Inf
361,-Inf
464,-Inf
470,-Inf
477,-Inf
507,-Inf
661,-Inf
768,-Inf
972,-Inf
986,-Inf
996,-Inf
1439,-Inf
2043,-Inf
2243,-Inf
2248,-Inf
2939,-Inf
2977,-Inf
3051,-Inf
3616,-Inf
3795,-Inf
3797,-Inf
5101,-Inf
5475,-Inf
6598,-Inf
7573,-Inf
7838,-Inf
9003,-Inf
9051,-Inf
9434,-Inf
9869,-Inf
10130,-Inf
10822,-Inf
10847,-Inf
11119,-Inf
11327,-Inf
11433,-Inf
12205,-Inf
13338,-Inf
14728,-Inf
15106,-Inf
15293,-Inf
16718,-Inf
17189,-Inf
17196,-Inf
17787,-Inf
17978,-Inf
18484,-Inf
18815,-Inf
18920,-Inf
18967,-Inf
19401,-Inf
20237,-Inf
20461,-Inf
20486,-Inf
21466,-Inf
22621,-Inf
22846,-Inf
23816,-Inf
23985,-Inf
24927,-Inf
25493,-Inf
25565,-Inf
26083,-Inf
26241,-Inf
26448,-Inf
26504,-Inf
26818,-Inf
27301,-Inf
30379,-Inf
31426,-Inf
32298,-Inf
34273,-Inf
34488,-Inf
35468,-Inf
36422,-Inf
37139,-Inf
37713,-Inf
38235,-Inf
38524,-Inf
38659,-Inf
39144,-Inf
39354,-Inf
39805,-Inf
40263,-Inf
40379,-Inf
40887,-Inf
41254,-Inf
41612,-Inf
42470,-Inf
43312,-Inf
43426,-Inf
43680,-Inf
43730,-Inf
43807,-Inf
45195,-Inf
45221,-Inf
46126,-Inf
47002,-Inf
47396,-Inf
48494,-Inf
49088,-Inf
50712,-Inf
50826,-Inf
51535,-Inf
53058,-Inf
53149,-Inf
53781,-Inf
54551,-Inf
54926,-Inf
54932,-Inf
55150,-Inf
56934,-Inf
57110,-Inf
57773,-Inf
58660,-Inf
58884,-Inf
59440,-Inf
62156,-Inf
65261,-Inf
65538,-Inf
65727,-Inf
65737,-Inf
66067,-Inf
66304,-Inf
67029,-Inf
67412,-Inf
71964,-Inf
72590,-Inf
72664,-Inf
75527,-Inf
75774,-Inf
85966,-Inf
92804,-Inf
96518,-Inf
100877,-Inf
103084,-Inf
108981,-Inf
109125,-Inf
111321,-Inf
111889,-Inf
112134,-Inf
114590,-Inf
119085,-Inf
129288,-Inf
140422,-Inf
150146,-Inf
165252,-Inf
326997,-Inf
515,Inf
1497,Inf
2675,Inf
4137,Inf
5104,Inf
7516,Inf
10313,Inf
24348,Inf
25528,Inf
27545,Inf
42217,Inf
51064,Inf
60721,Inf
77205,Inf
37616,721238735993703850000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.000000
29379,1442452829920989100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.000000
103534,7.3151E+145
73360,4.8768E+145
68647,769.295817
11485,3.000317
70463,3.000317
165752,3.000317
1617,2.0002
54029,2.0002
69887,2.0002
95938,2.0002
118797,2.0002
129129,2.0002
211345,2.0002
305111,2.0002
311341,2.0002
36074,1.500057
151147,1.500057
790003,1.500057
1016499,1.500057
19320,1.000117
164606,1.000117
211134,1.000117
338835,1.000117
1196,1.000033
5749,1.000033
37652,1.000033
72477,1.000033
76277,1.000033
95906,1.000033
115018,1.000033
208431,1.000033
238609,1.000033
247614,1.000033
263281,1.000033
308184,1.000033
308761,1.000033
338061,1.000033
472447,1.000033
512645,1.000033
527845,1.000033
810289,1.000033
106322,1.000015
122954,1.000015
149302,1.000015
163975,1.000015
171721,1.000015
319667,1.000015
321600,1.000015
341706,1.000015
375415,1.000015
406897,1.000015
418360,1.000015
458261,1.000015
477724,1.000015
481945,1.000015
509461,1.000015
542044,1.000015
575185,1.000015
579178,1.000015
622999,1.000015
760856,1.000015
763095,1.000015
784625,1.000015
804515,1.000015
807307,1.000015
809957,1.000015
814310,1.000015
890002,1.000015
890153,1.000015
912928,1.000015
934738,1.000015
1063913,1.000015
2690,0.666673
5225,0.666673
17929,0.666673
20814,0.666673
58480,0.666673
101660,0.666673
112375,0.666673
114155,0.666673
117067,0.666673
117068,0.666673
118257,0.666673
121592,0.666673
122065,0.666673
122877,0.666673
123146,0.666673
123423,0.666673
129929,0.666673
134514,0.666673
140460,0.666673
142751,0.666673
144584,0.666673
144907,0.666673
147779,0.666673
148354,0.666673
152951,0.666673
157930,0.666673
160053,0.666673
164373,0.666673
166081,0.666673
169618,0.666673
170311,0.666673
201313,0.666673
211570,0.666673
261514,0.666673
311717,0.666673
314078,0.666673
323422,0.666673
332158,0.666673
345325,0.666673
360375,0.666673
360473,0.666673
369676,0.666673
372556,0.666673
375830,0.666673
388371,0.666673
395721,0.666673
399777,0.666673
404051,0.666673
418180,0.666673
435321,0.666673
440688,0.666673
457570,0.666673
481621,0.666673
487449,0.666673
488567,0.666673
488807,0.666673
490299,0.666673
494154,0.666673
495019,0.666673
513882,0.666673
521640,0.666673
543723,0.666673
545428,0.666673
560903,0.666673
571401,0.666673
582245,0.666673
596937,0.666673
603234,0.666673
691214,0.666673
721325,0.666673
721478,0.666673
722527,0.666673
730220,0.666673
732218,0.666673
739528,0.666673
744521,0.666673
760720,0.666673
761238,0.666673
764501,0.666673
766106,0.666673
768235,0.666673
772032,0.666673
784206,0.666673
784402,0.666673
785104,0.666673
788144,0.666673
789088,0.666673
806660,0.666673
807342,0.666673
817723,0.666673
818958,0.666673
819710,0.666673
821529,0.666673
825186,0.666673
827449,0.666673
831918,0.666673
836030,0.666673
837553,0.666673
842755,0.666673
855785,0.666673
865083,0.666673
871439,0.666673
876140,0.666673
877838,0.666673
896033,0.666673
903655,0.666673
906954,0.666673
920179,0.666673
924954,0.666673
977730,0.666673
979760,0.666673
991896,0.666673
1023448,0.666673
1049682,0.666673
1057229,0.666673
1074139,0.666673
1074312,0.666673
1075823,0.666673
1076626,0.666673
1087396,0.666673
1098675,0.666673
1105702,0.666673
4118,0.500024
44482,0.500024
50355,0.500024
66575,0.500024
75029,0.500024
100014,0.500024
103072,0.500024
116254,0.500024
134511,0.500024
160005,0.500024
163849,0.500024
166171,0.500024
181518,0.500024
211922,0.500024
234345,0.500024
236792,0.500024
292519,0.500024
434186,0.500024
15679,0.333342
44368,0.333342
44873,0.333342
74125,0.333342
80030,0.333342
102980,0.333342
105566,0.333342
107523,0.333342
118187,0.333342
120532,0.333342
120643,0.333342
120848,0.333342
121343,0.333342
124050,0.333342
129164,0.333342
131892,0.333342
140934,0.333342
145363,0.333342
146630,0.333342
150404,0.333342
156469,0.333342
161783,0.333342
166009,0.333342
180662,0.333342
195868,0.333342
202645,0.333342
205463,0.333342
208696,0.333342
209894,0.333342
222528,0.333342
227388,0.333342
243825,0.333342
256410,0.333342
263952,0.333342
274035,0.333342
291320,0.333342
320515,0.333342
334520,0.333342
336792,0.333342
338665,0.333342
344784,0.333342
351528,0.333342
361076,0.333342
366498,0.333342
395305,0.333342
404112,0.333342
413606,0.333342
414121,0.333342
420445,0.333342
429985,0.333342
439041,0.333342
447438,0.333342
491511,0.333342
498243,0.333342
499989,0.333342
506284,0.333342
518045,0.333342
525233,0.333342
533530,0.333342
534110,0.333342
555950,0.333342
564878,0.333342
576410,0.333342
581682,0.333342
608775,0.333342
637398,0.333342
650191,0.333342
676089,0.333342
679930,0.333342
688642,0.333342
693190,0.333342
715298,0.333342
716738,0.333342
744680,0.333342
748369,0.333342
758305,0.333342
767827,0.333342
771036,0.333342
776647,0.333342
795402,0.333342
802413,0.333342
803619,0.333342
810199,0.333342
833092,0.333342
836004,0.333342
845459,0.333342
856359,0.333342
868200,0.333342
871175,0.333342
872022,0.333342
877074,0.333342
902463,0.333342
915425,0.333342
927981,0.333342
958326,0.333342
958639,0.333342
979867,0.333342
1056985,0.333342
1076082,0.333342
1084487,0.333342
1108115,0.333342
14,0
21,0
29,0
77,0
228,0
252,0
275,0
316,0
375,0
420,0
427,0
527,0
587,0
597,0
601,0
671,0
868,0
881,0
912,0
929,0
1014,0
1053,0
1077,0
1093,0
1101,0
1432,0
1630,0
1798,0
1854,0
1889,0
1986,0
2350,0
2559,0
2948,0
3008,0
3115,0
3142,0
3157,0
3805,0
3837,0
4064,0
4086,0
4243,0
4287,0
4647,0
4750,0
4879,0
4961,0
5759,0
5972,0
6456,0
6828,0
7031,0
7592,0
7836,0
7992,0
8016,0
8167,0
8258,0
8425,0
8528,0
8755,0
9376,0
9379,0
9382,0
9593,0
9773,0
10083,0
10279,0
10681,0
10998,0
11003,0
11052,0
11053,0
11072,0
11137,0
11182,0
11249,0
11284,0
12057,0
12068,0
12226,0
12239,0
12252,0
12303,0
12448,0
13099,0
13214,0
13225,0
13263,0
13317,0
13437,0
13662,0
13834,0
13945,0
14040,0
14077,0
14574,0
14838,0
15086,0
15152,0
15218,0
15314,0
15336,0
15750,0
15766,0
15812,0
16875,0
17213,0
17706,0
17780,0
17938,0
17961,0
17965,0
18318,0
18503,0
18543,0
18566,0
18613,0
18852,0
19218,0
19244,0
19275,0
19533,0
19621,0
19638,0
19744,0
19932,0
19968,0
20405,0
20477,0
20513,0
20639,0
20853,0
21276,0
21633,0
21761,0
22005,0
22209,0
22589,0
22704,0
22897,0
23101,0
23141,0
23171,0
23184,0
23352,0
23385,0
23740,0
23783,0
23885,0
24088,0
24118,0
24190,0
24241,0
24402,0
24463,0
24720,0
24761,0
24861,0
25110,0
25156,0
25229,0
25523,0
25525,0
25999,0
26030,0
26034,0
26142,0
26431,0
26481,0
27375,0
27733,0
27749,0
27785,0
27888,0
27969,0
28170,0
28533,0
28692,0
28977,0
29019,0
29231,0
29249,0
29389,0
29408,0
29500,0
29593,0
29607,0
29726,0
30106,0
30116,0
